seq,serial_number,Category,ProblemType,problem,ser
67,advanced,"Graph algorithms (e.g., Dijkstra's algorithm)","Topological Sorting: Sort the vertices of a directed acyclic graph (DAG) such that for every directed edge uv, vertex u comes before v in the sorting order.",586,68
68,advanced,"Graph algorithms (e.g., Dijkstra's algorithm)","Eulerian Path/Cycle: Find an Eulerian path or cycle in an undirected or directed graph respectively, where each edge is visited exactly once.",587,69
69,advanced,"Graph algorithms (e.g., Dijkstra's algorithm)","Minimum Cut: Compute the minimum cut of an undirected graph, which partitions the vertices into two disjoint sets such that the sum of weights of edges crossing between them is minimized.",588,70
70,advanced,Dynamic programming problems,Longest Increasing Subsequence: Find the length of the longest subsequence in an array that is strictly increasing.,589,71
71,advanced,Dynamic programming problems,"Knapsack Problem: Given a set of items with weights and values, determine the maximum value that can be obtained by selecting a subset of items without exceeding a given weight limit.",590,72
72,advanced,Dynamic programming problems,"Edit Distance: Find the minimum number of operations (insertion, deletion, or substitution) required to transform one string into another.",591,73
73,advanced,Dynamic programming problems,Coin Change Problem: Determine the number of ways to make change for a given amount using a given set of coin denominations.,592,74
74,advanced,Dynamic programming problems,Fibonacci Sequence: Implement an algorithm to calculate the nth Fibonacci number efficiently using dynamic programming techniques.,593,75
75,advanced,Dynamic programming problems,"Matrix Chain Multiplication: Given a sequence of matrices, determine the most efficient way to multiply them together.",594,76
76,advanced,Dynamic programming problems,Maximum Subarray Sum: Find the contiguous subarray within an array that has the largest sum.,595,77
77,advanced,Dynamic programming problems,Longest Common Subsequence: Find the length of the longest subsequence common to two sequences.,596,78
78,advanced,Dynamic programming problems,"Subset Sum Problem: Given a set of positive integers and a target sum, determine if there is any subset that sums up to the target value.",597,79
79,advanced,Dynamic programming problems,"Traveling Salesman Problem (TSP): Given a list of cities and their pairwise distances, find the shortest possible route that visits each city exactly once and returns to the starting city.",598,80
80,hard,Knapsack Problem,"0/1 Knapsack Problem: Given a set of items with weights and values, find the most valuable combination of items that can be packed into a knapsack with a given weight capacity.",796,81
81,hard,Knapsack Problem,"Fractional Knapsack Problem: Similar to the 0/1 Knapsack Problem, but here we can take fractions of items to maximize the total value within the weight capacity.",797,82
82,hard,Knapsack Problem,"Unbounded Knapsack Problem: In this variation, there is an unlimited supply of each item, and we need to find the maximum value that can be obtained by selecting any number of items without exceeding the weight capacity.",798,83
83,hard,Knapsack Problem,"Subset Sum Problem: Given a set of integers and a target sum, determine if there exists a subset whose elements sum up to the given target.",799,84
84,hard,Knapsack Problem,Partition Equal Subset Sum: This problem involves partitioning a given set into two subsets such that both subsets have equal sums.,800,85
85,hard,Knapsack Problem,"Multiple Knapsack Problem: In this variant, we have multiple knapsacks with different weight capacities and need to find the optimal distribution of items across these knapsacks to maximize their total value.",801,86
86,hard,Knapsack Problem,"Bounded Knapsack Problem: Similar to the 0/1 Knapsack Problem, but here we have a limited number of each item available for selection.",802,87
87,hard,Knapsack Problem,Quadratic Knapsack Problem: This problem extends the traditional knapsack problem by introducing quadratic terms in the objective function or constraints.,803,88
88,hard,Knapsack Problem,"Time-Constrained Knapsack Problem: Here, each item has an associated time requirement for packing it into the knapsack, and we need to maximize the value while staying within a given time constraint.",804,89
89,hard,Knapsack Problem,"Profit Maximization with Weighted Items: In this variation, each item has an associated profit-to-weight ratio, and we need to select items such that the sum of their profit-to-weight ratios is maximized.",805,90
90,hard,Longest Common Subsequence,"Given two strings, find the length of their longest common subsequence.",806,91
91,hard,Longest Common Subsequence,Find one of the longest common subsequences between two given strings.,807,92
92,hard,Longest Common Subsequence,Determine if two strings have a common subsequence of length k.,808,93
93,hard,Longest Common Subsequence,Find the number of distinct longest common subsequences between two given strings.,809,94
94,hard,Longest Common Subsequence,"Given an array of strings, find the longest common subsequence among all pairs of strings.",810,95
95,hard,Longest Common Subsequence,Find the shortest string that contains all characters from a given set as a subsequence.,811,96
96,hard,Longest Common Subsequence,Determine if a string can be formed by concatenating multiple copies of another string (using its subsequences).,812,97
97,hard,Longest Common Subsequence,"Given three strings, find the longest common subsequence that is present in all three strings.",813,98
98,hard,Longest Common Subsequence,Find the minimum number of deletions required to make two given strings equal by removing characters not present in their longest common subsequence.,814,99
99,hard,Longest Common Subsequence,"Given a set of DNA sequences, find the longest common subsequence that appears in at least half of them.",815,100
