index,category,problem_type,problem,solution_prompt,solution,test_input,expected,actual,status,pass,exception
3,,,Write an algorithm to find the sum of all prime numbers between two given integers (inclusive).,Develop a Python script to solve the problem.,"
# Function to check if a number is prime
def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

# Function to find the sum of all prime numbers between two given integers (inclusive)
def funcImp(start, end):
    prime_sum = 0
    for num in range(start, end + 1):
        if is_prime(num):
            prime_sum += num
    return prime_sum

# Test cases
test_cases = [
    (1, 10),  # 2 + 3 + 5 + 7 = 17
    (10, 20),  # 11 + 13 + 17 + 19 = 60
    (20, 30),  # 23 + 29 = 52
    (30, 40),  # 31 + 37 = 68
    (40, 50),  # 41 + 43 + 47 = 131
    (50, 60),  # 53 + 59 = 112
]

# Execute test cases
for start, end in test_cases:
    result = funcImp(start, end)
    print(f""Sum of prime numbers between {start} and {end} (inclusive): {result}"")
","start=20, end=30",52,52,PASS,True,
4,,,Write an algorithm to find the sum of all prime numbers between two given integers (inclusive).,Develop a Python script to solve the problem.,"
# Function to check if a number is prime
def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

# Function to find the sum of all prime numbers between two given integers (inclusive)
def funcImp(start, end):
    prime_sum = 0
    for num in range(start, end + 1):
        if is_prime(num):
            prime_sum += num
    return prime_sum

# Test cases
test_cases = [
    (1, 10),  # 2 + 3 + 5 + 7 = 17
    (10, 20),  # 11 + 13 + 17 + 19 = 60
    (20, 30),  # 23 + 29 = 52
    (30, 40),  # 31 + 37 = 68
    (40, 50),  # 41 + 43 + 47 = 131
    (50, 60),  # 53 + 59 = 112
]

# Execute test cases
for start, end in test_cases:
    result = funcImp(start, end)
    print(f""Sum of prime numbers between {start} and {end} (inclusive): {result}"")
","start=30, end=40",68,68,PASS,True,
5,,,Write an algorithm to find the sum of all prime numbers between two given integers (inclusive).,Develop a Python script to solve the problem.,"
# Function to check if a number is prime
def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

# Function to find the sum of all prime numbers between two given integers (inclusive)
def funcImp(start, end):
    prime_sum = 0
    for num in range(start, end + 1):
        if is_prime(num):
            prime_sum += num
    return prime_sum

# Test cases
test_cases = [
    (1, 10),  # 2 + 3 + 5 + 7 = 17
    (10, 20),  # 11 + 13 + 17 + 19 = 60
    (20, 30),  # 23 + 29 = 52
    (30, 40),  # 31 + 37 = 68
    (40, 50),  # 41 + 43 + 47 = 131
    (50, 60),  # 53 + 59 = 112
]

# Execute test cases
for start, end in test_cases:
    result = funcImp(start, end)
    print(f""Sum of prime numbers between {start} and {end} (inclusive): {result}"")
","start=40, end=50",131,131,PASS,True,
6,,,Write an algorithm to find the sum of all prime numbers between two given integers (inclusive).,Develop a Python script to solve the problem.,"
# Function to check if a number is prime
def is_prime(n):
    if n <= 1:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

# Function to find the sum of all prime numbers between two given integers (inclusive)
def funcImp(start, end):
    prime_sum = 0
    for num in range(start, end + 1):
        if is_prime(num):
            prime_sum += num
    return prime_sum

# Test cases
test_cases = [
    (1, 10),  # 2 + 3 + 5 + 7 = 17
    (10, 20),  # 11 + 13 + 17 + 19 = 60
    (20, 30),  # 23 + 29 = 52
    (30, 40),  # 31 + 37 = 68
    (40, 50),  # 41 + 43 + 47 = 131
    (50, 60),  # 53 + 59 = 112
]

# Execute test cases
for start, end in test_cases:
    result = funcImp(start, end)
    print(f""Sum of prime numbers between {start} and {end} (inclusive): {result}"")
","start=50, end=60",112,112,PASS,True,
1,,,,,,"[1, 2, 3, 4, 5]",3,3.0,PASS,True,
2,,,,,,"[-1, -2, -3, -4, -5]",-3,-3.0,PASS,True,
3,,,,,,"[1, -2, 3, -4, 5]",0.6,0.6,PASS,True,
4,,,,,,"[1.5, 2.5, 3.5, 4.5, 5.5]",3.5,3.5,PASS,True,
5,,,,,,"[1, 2, '3', 4, '5']",1.75,2.3333333333333335,FAIL,False,
6,,,,,,[],0,0,PASS,True,
7,,,,,,"['a', 'b', 'c']",0,0,PASS,True,
8,,,,,,[10],10,10.0,PASS,True,
9,,,,,,"[1, 1, 1, 1, 1]",1,1.0,PASS,True,
10,,,,,,"[1000000, 2000000, 3000000, 4000000, 5000000]",3000000,3000000.0,PASS,True,
1,,,,,,[],0,0,PASS,True,
2,,,,,,[5],5,5.0,PASS,True,
3,,,,,,"[1, 2, 3, 4, 5]",3,0.425,FAIL,False,
4,,,,,,"[-1, -2, -3, -4, -5]",-3,-0.425,FAIL,False,
5,,,,,,"[-1, 2, -3, 4, -5]",-0.6,-0.15833333333333335,FAIL,False,
6,,,,,,"[1.5, 2.5, 3.5, 4.5, 5.5]",3.5,0.5666666666666667,FAIL,False,
7,,,,,,"[1000000, 2000000, 3000000, 4000000, 5000000]",3000000,425000.0,FAIL,False,
1,category,problem_type,problem,solution_prompt,solution,"[1, 2, 3, 4, 5]",3.0,3.0,PASS,True,
2,category,problem_type,problem,solution_prompt,solution,"[10, 20, 30, 40, 50]",30.0,30.0,PASS,True,
1,Problem Solving,Average Calculation,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",Develop a Python script to solve the problem.,"
def funcImp(numbers):
    # Function implementation goes here
    pass

# Test cases go here
","[1, 2, 3, 4, 5]",3,3.0,PASS,True,
2,Problem Solving,Average Calculation,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",Develop a Python script to solve the problem.,"
def funcImp(numbers):
    # Function implementation goes here
    pass

# Test cases go here
","[10, 20, 30, 40, 50]",30,30.0,PASS,True,
3,Problem Solving,Average Calculation,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",Develop a Python script to solve the problem.,"
def funcImp(numbers):
    # Function implementation goes here
    pass

# Test cases go here
",[],0,0,PASS,True,
4,Problem Solving,Average Calculation,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",Develop a Python script to solve the problem.,"
def funcImp(numbers):
    # Function implementation goes here
    pass

# Test cases go here
","[1, 2, 'a', 4, 5]",2.4,3.0,FAIL,False,
5,Problem Solving,Average Calculation,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",Develop a Python script to solve the problem.,"
def funcImp(numbers):
    # Function implementation goes here
    pass

# Test cases go here
","[1, 2, '3', 4, 5]",2.4,3.0,FAIL,False,
6,Problem Solving,Average Calculation,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",Develop a Python script to solve the problem.,"
def funcImp(numbers):
    # Function implementation goes here
    pass

# Test cases go here
","[1, 2, '3', 'four', 5]",2.4,2.75,FAIL,False,
7,Problem Solving,Average Calculation,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",Develop a Python script to solve the problem.,"
def funcImp(numbers):
    # Function implementation goes here
    pass

# Test cases go here
","['one', 'two', 'three']",0,0,PASS,True,
8,Problem Solving,Average Calculation,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",Develop a Python script to solve the problem.,"
def funcImp(numbers):
    # Function implementation goes here
    pass

# Test cases go here
","[1, 2, 3, None, 5]",2.2,,FAIL,False,"float() argument must be a string or a real number, not 'NoneType'"
1,Computer Science,Average of List,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",funcImp,,"[1, 2, 3, 4, 5]",3,3.0,PASS,True,
2,Computer Science,Average of List,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",funcImp,,"[10, 20, 30, 40, 50]",30,30.0,PASS,True,
3,Computer Science,Average of List,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",funcImp,,[],0,0,PASS,True,
4,Computer Science,Average of List,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",funcImp,,"[1, 2, 'a', 4, 5]",2.4,3.0,FAIL,False,
5,Computer Science,Average of List,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",funcImp,,"[1, 2, '3', 4, 5]",2.4,3.0,FAIL,False,
6,Computer Science,Average of List,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",funcImp,,"[1, 2, '3', 'four', 5]",2.4,2.6666666666666665,FAIL,False,
7,Computer Science,Average of List,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",funcImp,,"['one', 'two', 'three']",0,0,PASS,True,
8,Computer Science,Average of List,"Design an algorithm to find the average of a list of numbers, handling cases where the list is empty or contains invalid entries.",funcImp,,"[1, 2, 3, None, 5]",2.2,2.75,FAIL,False,
1,Prompt 1,Naive Approach,List with odd number of elements,Calculate the median and average of a list with odd number of elements.,"<code object funcImp at 0x000002F4AE965730, file ""d:\chatGPT-humanExpert\Automation\AUTOGEN\work_dir\tmp_code_555442a7ef43cb088fecf88c3e3dabe1.py"", line 4>","[1, 2, 3, 4, 5]",4.5,4.0,FAIL,False,
2,Prompt 1,Naive Approach,List with even number of elements,Calculate the median and average of a list with even number of elements.,"<code object funcImp at 0x000002F4AE965730, file ""d:\chatGPT-humanExpert\Automation\AUTOGEN\work_dir\tmp_code_555442a7ef43cb088fecf88c3e3dabe1.py"", line 4>","[1, 2, 3, 4]",3.5,3.5,PASS,True,
3,Prompt 1,Naive Approach,List with duplicate elements,Calculate the median and average of a list with duplicate elements.,"<code object funcImp at 0x000002F4AE965730, file ""d:\chatGPT-humanExpert\Automation\AUTOGEN\work_dir\tmp_code_555442a7ef43cb088fecf88c3e3dabe1.py"", line 4>","[1, 2, 2, 3, 4, 4, 4, 5]",4.0,4.25,FAIL,False,
4,Prompt 1,Naive Approach,List with negative numbers,Calculate the median and average of a list with negative numbers.,"<code object funcImp at 0x000002F4AE965730, file ""d:\chatGPT-humanExpert\Automation\AUTOGEN\work_dir\tmp_code_555442a7ef43cb088fecf88c3e3dabe1.py"", line 4>","[-5, -4, -3, -2, -1]",-2.0,-2.0,PASS,True,
5,Prompt 1,Naive Approach,Empty list,Calculate the median and average of an empty list.,"<code object funcImp at 0x000002F4AE965730, file ""d:\chatGPT-humanExpert\Automation\AUTOGEN\work_dir\tmp_code_555442a7ef43cb088fecf88c3e3dabe1.py"", line 4>",[],0.0,0.0,PASS,True,
1,Prompt 1,Naive Approach,List with odd number of elements,Calculate the median and average of a list with odd number of elements.,"<code object funcImp at 0x000001B003B35730, file ""d:\chatGPT-humanExpert\Automation\AUTOGEN\work_dir\tmp_code_555442a7ef43cb088fecf88c3e3dabe1.py"", line 4>","[1, 2, 3, 4, 5]",4.5,4.0,FAIL,False,
2,Prompt 1,Naive Approach,List with even number of elements,Calculate the median and average of a list with even number of elements.,"<code object funcImp at 0x000001B003B35730, file ""d:\chatGPT-humanExpert\Automation\AUTOGEN\work_dir\tmp_code_555442a7ef43cb088fecf88c3e3dabe1.py"", line 4>","[1, 2, 3, 4]",3.5,3.5,PASS,True,
3,Prompt 1,Naive Approach,List with duplicate elements,Calculate the median and average of a list with duplicate elements.,"<code object funcImp at 0x000001B003B35730, file ""d:\chatGPT-humanExpert\Automation\AUTOGEN\work_dir\tmp_code_555442a7ef43cb088fecf88c3e3dabe1.py"", line 4>","[1, 2, 2, 3, 4, 4, 4, 5]",4.0,4.25,FAIL,False,
4,Prompt 1,Naive Approach,List with negative numbers,Calculate the median and average of a list with negative numbers.,"<code object funcImp at 0x000001B003B35730, file ""d:\chatGPT-humanExpert\Automation\AUTOGEN\work_dir\tmp_code_555442a7ef43cb088fecf88c3e3dabe1.py"", line 4>","[-5, -4, -3, -2, -1]",-2.0,-2.0,PASS,True,
5,Prompt 1,Naive Approach,Empty list,Calculate the median and average of an empty list.,"<code object funcImp at 0x000001B003B35730, file ""d:\chatGPT-humanExpert\Automation\AUTOGEN\work_dir\tmp_code_555442a7ef43cb088fecf88c3e3dabe1.py"", line 4>",[],0.0,0.0,PASS,True,
1,,,,,,"[1, 2, 3, 4, 5]",4.5,4.0,FAIL,False,
2,,,,,,"[1, 2, 3, 4, 5, 6]",4.666666666666667,5.0,FAIL,False,
3,,,,,,"[5, 4, 3, 2, 1]",3.0,4.0,FAIL,False,
4,,,,,,"[1, 3, 5, 7, 9]",7.0,7.0,PASS,True,
5,,,,,,"[2, 4, 6, 8, 10]",8.0,8.0,PASS,True,
6,,,,,,"[1, 1, 1, 1, 1]",1.0,1.0,PASS,True,
7,,,,,,[],,,PASS,True,
